left_provider,left_rule_set,left_rule_id,left_rule_title,left_rule_url,right_provider,right_rule_set,right_rule_id,right_rule_title,right_rule_url,score,shared_tokens
W3C,w3c-act-rules,09o5cg,Text has enhanced contrast,https://www.w3.org/WAI/standards-guidelines/act/rules/09o5cg/proposed/,Siteimprove,siteimprove-alfa-rules,sia-r66,Text has enhanced contrast,https://alfa.siteimprove.com/rules/sia-r66,1.0,contrast|enhanced|text
W3C,w3c-act-rules,24afc2,Important letter spacing in style attributes is wide enough,https://www.w3.org/WAI/standards-guidelines/act/rules/24afc2/proposed/,Siteimprove,siteimprove-alfa-rules,sia-r91,!important letter spacing in style attribute is wide enough,https://alfa.siteimprove.com/rules/sia-r91,1.0,enough|important|letter|spacing|wide
W3C,w3c-act-rules,2t702h,Summary element has non-empty accessible name,https://www.w3.org/WAI/standards-guidelines/act/rules/2t702h/proposed/,Siteimprove,siteimprove-alfa-rules,sia-r116,<summary> element has non-empty accessible name,https://alfa.siteimprove.com/rules/sia-r116,1.0,empty|non|summary
W3C,w3c-act-rules,307n5z,Element with presentational children has no focusable content,https://www.w3.org/WAI/standards-guidelines/act/rules/307n5z/proposed/,Siteimprove,siteimprove-alfa-rules,sia-r90,Element with presentational children has no focusable content,https://alfa.siteimprove.com/rules/sia-r90,1.0,children|content|focusable|presentational
W3C,w3c-act-rules,4e8ab6,Element with role attribute has required states and properties,https://www.w3.org/WAI/standards-guidelines/act/rules/4e8ab6/proposed/,Siteimprove,siteimprove-alfa-rules,sia-r16,Elements with a role have required states and properties,https://alfa.siteimprove.com/rules/sia-r16,1.0,properties|required|role|states
W3C,w3c-act-rules,73f2c2,Autocomplete attribute has valid value,https://www.w3.org/WAI/standards-guidelines/act/rules/73f2c2/proposed/,Siteimprove,siteimprove-alfa-rules,sia-r10,autocomplete attributes have a valid value,https://alfa.siteimprove.com/rules/sia-r10,1.0,autocomplete|valid|value
W3C,w3c-act-rules,78fd32,Important line height in style attributes is wide enough,https://www.w3.org/WAI/standards-guidelines/act/rules/78fd32/proposed/,Siteimprove,siteimprove-alfa-rules,sia-r93,!important line height in style attribute is wide enough,https://alfa.siteimprove.com/rules/sia-r93,1.0,enough|height|important|line|wide
W3C,w3c-act-rules,7d6734,SVG element with explicit role has non-empty accessible name,https://www.w3.org/WAI/standards-guidelines/act/rules/7d6734/proposed/,Siteimprove,siteimprove-alfa-rules,sia-r43,<svg> element with explicit role has non-empty accessible name,https://alfa.siteimprove.com/rules/sia-r43,1.0,empty|explicit|non|role|svg
W3C,w3c-act-rules,9e45ec,Important word spacing in style attributes is wide enough,https://www.w3.org/WAI/standards-guidelines/act/rules/9e45ec/proposed/,Siteimprove,siteimprove-alfa-rules,sia-r92,!important word spacing in style attribute is wide enough,https://alfa.siteimprove.com/rules/sia-r92,1.0,enough|important|spacing|wide|word
W3C,w3c-act-rules,a25f45,Headers attribute specified on a cell refers to cells in the same table element,https://www.w3.org/WAI/standards-guidelines/act/rules/a25f45/proposed/,Siteimprove,siteimprove-alfa-rules,sia-r45,Headers attribute specified on a cell refers to cells in the same table element,https://alfa.siteimprove.com/rules/sia-r45,1.0,cell|cells|headers|refers|same|specified|table
W3C,w3c-act-rules,afw4f7,Text has minimum contrast,https://www.w3.org/WAI/standards-guidelines/act/rules/afw4f7/proposed/,Siteimprove,siteimprove-alfa-rules,sia-r69,Text has minimum contrast,https://alfa.siteimprove.com/rules/sia-r69,1.0,contrast|minimum|text
W3C,w3c-act-rules,c4a8a4,HTML page title is descriptive,https://www.w3.org/WAI/standards-guidelines/act/rules/c4a8a4/proposed/,Siteimprove,siteimprove-alfa-rules,sia-r114,HTML page title is descriptive,https://alfa.siteimprove.com/rules/sia-r114,1.0,descriptive|title
W3C,w3c-act-rules,m6b1q3,Menuitem has non-empty accessible name,https://www.w3.org/WAI/standards-guidelines/act/rules/m6b1q3/proposed/,Siteimprove,siteimprove-alfa-rules,sia-r94,menuitem has non-empty accessible name,https://alfa.siteimprove.com/rules/sia-r94,1.0,empty|menuitem|non
W3C,w3c-act-rules,oj04fd,Element in sequential focus order has visible focus,https://www.w3.org/WAI/standards-guidelines/act/rules/oj04fd/proposed/,Siteimprove,siteimprove-alfa-rules,sia-r65,Element in sequential focus order has visible focus,https://alfa.siteimprove.com/rules/sia-r65,1.0,focus|order|sequential|visible
W3C,w3c-act-rules,qt1vmo,Image accessible name is descriptive,https://www.w3.org/WAI/standards-guidelines/act/rules/qt1vmo/proposed/,Siteimprove,siteimprove-alfa-rules,sia-r117,Image accessible name is descriptive,https://alfa.siteimprove.com/rules/sia-r117,1.0,descriptive|image
W3C,w3c-act-rules,aaa1bf,Audio or video element that plays automatically has no audio that lasts more than 3 seconds proposed,https://www.w3.org/WAI/standards-guidelines/act/rules/aaa1bf/proposed/,Siteimprove,siteimprove-alfa-rules,sia-r48,<audio> or <video> that plays automatically has no audio that lasts more than 3 seconds,https://alfa.siteimprove.com/rules/sia-r48,0.8889,audio|automatically|lasts|more|plays|seconds|than|video
W3C,w3c-act-rules,36b590,Error message describes invalid form field value proposed,https://www.w3.org/WAI/standards-guidelines/act/rules/36b590/proposed/,Siteimprove,siteimprove-alfa-rules,sia-r82,Error message describes invalid form field value,https://alfa.siteimprove.com/rules/sia-r82,0.875,describes|error|field|form|invalid|message|value
